rank,name,city,country,heightM,heightF,floors,completedYr,materials,use,,,,
71,Menara TM,Kuala Lumpur,Malaysia,310,1017,55,2001,concrete,office,,,,
72,Pearl River Tower,Guangzhou,China,309,1015,71,2013,composite,office,,,,
73,Fortune Center,Guangzhou,China,309,1015,68,2015,composite,office,,,,
74,Emirates Tower Two,Dubai,United Arab Emirates,309,1014,56,2000,composite,hotel,,,,
75,Stalnaya Vershina,Moscow,Russia,309,1013,72,2015,composite,residential / hotel / office,,,,
76,Burj Rafal,Riyadh•À_,Saudi Arabia,308,1010,68,2014,concrete,residential / hotel,,,,
77,The Franklin - North Tower,Chicago,USA,307,1007,60,1989,composite,office,,,,
78,Cayan Tower,Dubai,United Arab Emirates,306,1005,73,2013,concrete,residential,,,,
79,One57,New York City,USA,306,1004,75,2014,steel/concrete,residential / hotel,,,,
80,Diwang International Fortune Center,Liuzhou•À_,China,306,1004,71,2015,composite,office / hotel,,,,
81,East Pacific Center Tower A,Shenzhen,China,306,1004,85,2013,composite,residential,,,,
82,The Shard,London,Great Britain,306,1004,73,2013,composite,residential / hotel / office,,,,
83,JPMorgan Chase Tower,Houston,USA,305,1002,75,1982,composite,office,,,,
84,Etihad Towers T2,Abu Dhabi,United Arab Emirates,305,1002,80,2011,concrete,residential,,,,
85,Northeast Asia Trade Tower,Incheon,South Korea,305,1001,68,2011,composite,residential / hotel / office,,,,
86,Baiyoke Tower II,Bangkok,Thailand,304,997,85,1997,concrete,hotel,,,,
87,Shenzhen CFC Changfu Centre,Shenzhen,China,304,997,68,2016,composite,office,,,,
87,Wuxi Maoye City - Marriott Hotel,Wuxi,China,304,997,68,2014,composite,hotel,,,,
89,Two Prudential Plaza,Chicago,USA,303,995,64,1990,concrete,office,,,,
90,Greenland Puli Center,Jinan,China,303,994,61,2014,composite,office,,,,
91,Jiangxi Nanchang Greenland Central Plaza,Nanchang,China,303,994,59,2015,composite,office,,,,
91,Jiangxi Nanchang Greenland Central Plaza,Nanchang,China,303,994,59,2015,composite,office,,,,
93,Leatop Plaza,Guangzhou,China,303,993,64,2012,composite,office,,,,
94,Wells Fargo Plaza,Houston,USA,302,992,71,1983,steel,office,,,,
95,Kingdom Centre,Riyadh,Saudi Arabia,302,992,41,2002,steel/concrete,residential / hotel / office,,,,
96,The Address,Dubai,United Arab Emirates,302,991,63,2008,concrete,residential / hotel,,,,
97,Gate to the East,Suzhou,China,302,990,66,2015,concrete/steel,residential / hotel / office,,,,
98,Capital City Moscow Tower,Moscow,Russia,302,990,76,2010,concrete,residential,,,,
99,Shenzhen Zhongzhou Holdings Financial Center,Shenzhen,China,301,987,61,2015,composite,hotel / office,,,,
100,Doosan Haeundae We've the Zenith Tower A,Busan,South Korea,300,984,80,2011,concrete,residential,,,,
